Cidade,Bairro,Tipo_imovel,Area(m²),Quartos,Banheiros,Vagas,Preco(R$),Condominio(R$),Andar,Portaria 24h
Rio de Janeiro,Flamengo,Apto,263,4,6,1,2700000,2300,3,sim
Rio de Janeiro,Flamengo,Apto,113,3,2,1,1050000,1700,2,sim
Rio de Janeiro,Centro,Apto,16,1,1,0,130000,500,2,sim
Rio de Janeiro,Flamengo,Apto,66,2,2,0,670000,1200,2,sim
Rio de Janeiro,Leblon,Apto,257,4,4,3,5900000,5670,8,sim
Rio de Janeiro,São Conrado,Casa,552,4,6,9,3950000,1379,0,sim
Rio de Janeiro,Ipanema,Apto,140,4,6,1,2790000,3025,4,não
Rio de Janeiro,Lebon,Apto,230,4,6,3,4900000,4500,14,sim
Rio de Janeiro,Lagoa,Apto,185,3,1,2,3200000,2418,5,sim
Rio de Janeiro,Humaitá,Apto,270,3,4,2,2800000,680,3,não
Rio de Janeiro,Leblon,Apto,131,3,3,2,3400000,3321,14,sim
Rio de Janeiro,Leblon,Apto,269,3,5,2,4500000,5545,19,sim
Rio de Janeiro,Laranjeiras,Apto,110,3,2,0,1000000,1400,1,sim
Rio de Janeiro,Leblon,Apto,88,2,1,1,2500000,1225,3,sim
Rio de Janeiro,Lebon,Apto,71,2,2,2,2750000,3300,7,sim
Rio de Janeiro,Barra Olímpica,Apto,75,3,2,1,649000,990,5,não
Rio de Janeiro,Ipanema,Apto,85,2,3,2,2590000,2567,8,sim
Rio de Janeiro,Barra da Tijuca,Apto,271,4,5,4,3800000,3100,19,sim
Rio de Janeiro,Leblon,Apto,174,4,1,2,5000000,3180,23,sim
Rio de Janeiro,Leblon,Apto,67,1,2,1,2000000,1200,5,sim
Rio de Janeiro,Leblon,Apto,136,4,3,2,2300000,2830,3,sim
Rio de Janeiro,Tomás Coelho,Casa,260,4,7,2,380000,0,0,não
Rio de Janeiro,Inhaúma,Apto,52,2,1,0,170000,872,2,sim
Rio de Janeiro,Flamengo,Apto,253,4,5,1,2400000,1000,1,sim
Rio de Janeiro,Cascadura,Apto,52,2,1,1,220000,250,3,não
Rio de Janeiro,Tijuca,Apto,97,3,3,1,560000,1223,6,sim
Rio de Janeiro,Flamengo,Apto,128,2,4,1,1800000,2396,3,sim
Rio de Janeiro,Santa Teresa,Apto,54,2,1,0,360000,642,1,não
Rio de Janeiro,Barra Olímpica,Apto,88,3,3,1,550000,750,3,não
Rio de Janeiro,Tomás Coelho,Apto,48,2,1,1,130000,349,1,sim
Rio de Janeiro,Cachambi,Casa,206,4,3,0,600000,113,0,não
Rio de Janeiro,Cachambi,Apto,60,2,2,0,265000,700,4,não
Rio de Janeiro,Cachambi,Apto,46,1,2,1,165000,890,3,não
Rio de Janeiro,Oswaldo Cruz,Apto,64,2,2,1,300000,560,2,sim
Rio de Janeiro,Cachambi,Apto,85,2,3,1,450000,850,1,sim
Rio de Janeiro,Pilares,Casa,365,2,1,0,300000,0,0,não
Rio de Janeiro,Engenho da Rainha,Apto,54,2,1,2,205000,714,2,sim
Rio de Janeiro,Engenho de Dentro,Apto,71,2,2,1,180000,770,1,sim
Rio de Janeiro,Cachambi,Casa,66,2,1,1,200000,0,0,não
Rio de Janeiro,Quintino Bocaiúva,Apto,60,2,1,1,200000,641,1,sim
Rio de Janeiro,Botafogo,Apto,135,3,2,0,800000,850,3,sim
Rio de Janeiro,Botafogo,Apto,116,3,2,1,1550000,700,4,sim
Rio de Janeiro,Gávea,Apto,110,3,3,1,1590000,1830,9,sim
Rio de Janeiro,Botafogo,Apto,63,2,1,0,590000,989,10,sim
Rio de Janeiro,Ipanema,Apto,83,3,5,1,2700000,1954,2,sim
Rio de Janeiro,Centro,Apto,25,1,1,0,110000,460,4,sim
Rio de Janeiro,Glória,Apto,21,1,1,0,270000,500,3,não
Rio de Janeiro,Glória,Apto,84,2,4,1,780000,1510,6,sim
Rio de Janeiro,Catete,Apto,41,1,1,0,290000,580,2,não
Rio de Janeiro,Centro,Apto,60,1,1,0,117000,1093,7,sim
Rio de Janeiro,Centro,Apto,32,1,1,0,170000,830,11,sim
Rio de Janeiro,Catete,Apto,54,1,1,0,250000,500,12,sim
Rio de Janeiro,Ipanema,Apto,108,3,3,1,2600000,1600,17,sim
Rio de Janeiro,Botafogo,Apto,63,2,1,0,590000,989,12,sim
Rio de Janeiro,Botafogo,Apto,85,2,3,1,1450000,1500,11,sim
Rio de Janeiro,Catete,Apto,42,1,1,0,380000,620,14,sim
